"feature_or_effect","library","declared_range","locked_version","runtime_requirement","api","component_responsibility","configuration","verification"
"UI shell and every screen","react","^19.2.0","19.3.0",">=0.10.0","React StrictMode/useState/useEffect/useMemo/lazy/Suspense","App and screen components","root #root; Korean labels; states in 04-ui-motion section 3","UI-01/UI-02/UI-09"
"Root and portal","react-dom","^19.2.0","19.3.0","Browser capability; project Node >=22.13.0","createRoot; createPortal","main and ResultsVisuals tooltip","StrictMode MotionPreferenceProvider App; tooltip document.body","UI-01/UI-05"
"Typed UI and API structures","typescript","^5.9.3","5.9.3",">=14.17","tsc -b","compile-time contracts","strict true; noEmit; JSX react-jsx","BUILD"
"ES modules and split chunks","vite","^7.2.2","7.3.6","^20.19.0 || >=22.12.0","defineConfig; React plugin; dynamic import","client build/runtime loader","PDF worker ?url; lazy modals/screens","UI-10/BUILD"
"JSX development integration","@vitejs/plugin-react","^5.1.0","5.2.0","^20.19.0 || >=22.12.0","react()","Vite compiler plugin","react plugin; hot reload","BUILD"
"React transitions and layout","motion","^12.23.24","12.43.0","Browser capability; project Node >=22.13.0","motion; AnimatePresence; MotionConfig; animate; useMotionValue; useTransform","LandingIntro ReviewTheater ResultsVisuals FileReviewResults LiveReviewContext","default tween 280ms ease .22 1 .36 1; per-effect tables","UI-06/UI-07"
"Icons","lucide-react","^0.468.0","0.468.0","Browser capability; project Node >=22.13.0","ScanLine FileText FileSpreadsheet ArrowRight Check X HelpCircle etc","all UI","vector strokes mostly 1.4-1.8; sizes 10-29px; decorative aria-hidden where appropriate","UI-01/UI-09"
"Whole-results summary donut and stacked bars","recharts","3.10.1","3.10.1",">=18","ResponsiveContainer PieChart/Pie/Cell BarChart/Bar XAxis/YAxis Tooltip","ResultsVisuals","donut 68/90 percent radii; 850ms; stacked barSize14 800ms","UI-05"
"Recharts React type identity dependency","react-is","19.3.0","19.3.0","Browser capability; project Node >=22.13.0","Recharts transitive component type checks","Recharts dependency graph","same locked 19.3.0 as React","BUILD"
"Custom dashboard charts only","react-chartjs-2","5.3.1","5.3.1","Browser capability; project Node >=22.13.0","Chart wrapper","dashboard-design renderer; separate dashboard specification","5.3.1 wrapper; not Chart.js 2.x","DASHBOARD"
"Custom dashboard chart engine","chart.js","4.5.1","4.5.1","Browser capability; project Node >=22.13.0","Chart.register and fixed validated renderer","dashboard chart runtime","4.5.1; never supplied arbitrary model JS","DASHBOARD"
"PDF original pages","pdfjs-dist","^6.2.108","6.3.289",">=22.13.0 || >=24","getDocument GlobalWorkerOptions worker render getTextContent","DocumentPreview/PDFPage","dynamic import; worker ?url; local cmaps/fonts/wasm assets","UI-04"
"XLSX parsing and preview JSON server-side","exceljs","^4.4.0","4.4.0",">=8.3.0","Workbook.xlsx.load/readFile","server spreadsheet adapter; HTML table client preview","all sheet preview; no browser Excel canvas library","UI-04"
"DOCX extraction/HTML server-side","mammoth","^1.11.0","1.12.3",">=12.0.0","DOCX extraction/conversion","document preview adapter","browser receives structured text; not Word iframe","UI-04"
"CSV parsing server-side","csv-parse","^7.0.2","7.0.2","Browser capability; project Node >=22.13.0","parse","document preview adapter","browser HTML table; no ag-grid/SheetJS","UI-04"
"OOXML package inspection","jszip","^3.10.1","3.10.2","Browser capability; project Node >=22.13.0","zip load/extraction","server office adapters","not a motion or UI framework","PIPELINE"
"OOXML XML parsing","saxes","6.0.0","6.0.0",">=v12.22.7","SaxesParser","server XML adapter","not a chart or UI library","PIPELINE"
"CSS keyframes native transitions SVG beams","Web platform","not npm dependency","browser-native","modern Chromium; CSS :has offset-path container sizing SVG canvas","@keyframes transition SVG path offset-distance requestAnimationFrame","UploadVisual SandboxWorkScene SandboxWorkroomScene ReviewTheater","motion-catalog.json plus trigger/queue tables in specification","UI-06/UI-07"
