case_id,field_id,file,sheet,cell,value
B101,thermal,golden/native/B101_completed.xlsx,단열 성능,G10,판독 불가
B101,thermal,golden/native/B101_completed.xlsx,단열 성능,H10,review
B101,thermal,golden/native/B101_completed.xlsx,단열 성능,I10,PDF 3쪽 | 불투명 메모지가 측정값 전체를 가려 원본 값 복원 불가
B101,stress,golden/native/B101_completed.xlsx,단열 성능,G11,142 kPa
B101,stress,golden/native/B101_completed.xlsx,단열 성능,H11,pass
B101,stress,golden/native/B101_completed.xlsx,단열 성능,I11,PDF 3쪽 | 최소 140 kPa 이상
B101,absorption,golden/native/B101_completed.xlsx,마감재 기준,E7,0.41 %
B101,absorption,golden/native/B101_completed.xlsx,마감재 기준,F7,pass
B101,absorption,golden/native/B101_completed.xlsx,마감재 기준,G7,PDF 11쪽 | 상한 0.5% 이하
B101,bond,golden/native/B101_completed.xlsx,마감재 기준,E8,1.12 MPa
B101,bond,golden/native/B101_completed.xlsx,마감재 기준,F8,pass
B101,bond,golden/native/B101_completed.xlsx,마감재 기준,G8,PDF 13쪽 | 최소 1.0 MPa 이상
B102,strength,golden/native/B102_completed.xlsx,현장 종합기준,F7,31.2 MPa
B102,strength,golden/native/B102_completed.xlsx,현장 종합기준,G7,pass
B102,strength,golden/native/B102_completed.xlsx,현장 종합기준,H7,PDF 16 + 15쪽 | 28일 양생 조건을 앞쪽 시험계획에서 연결
B102,chloride,golden/native/B102_completed.xlsx,현장 종합기준,F23,0.047 %
B102,chloride,golden/native/B102_completed.xlsx,현장 종합기준,G23,pass
B102,chloride,golden/native/B102_completed.xlsx,현장 종합기준,H23,PDF 18 + 16쪽 | 전 페이지 헤더 및 LOT를 연결해야 하는 연속 표
B102,elongation,golden/native/B102_completed.xlsx,현장 종합기준,F42,14 %
B102,elongation,golden/native/B102_completed.xlsx,현장 종합기준,G42,fail
B102,elongation,golden/native/B102_completed.xlsx,현장 종합기준,H42,PDF 45쪽 | 구개정 기준 12%가 아닌 현행 최소 16% 적용
B102,fire,golden/native/B102_completed.xlsx,현장 종합기준,F46,60 min
B102,fire,golden/native/B102_completed.xlsx,현장 종합기준,G46,pass
B102,fire,golden/native/B102_completed.xlsx,현장 종합기준,H46,PDF 45쪽 | 주석의 H-03 특별기준 60분 적용
I201,density,golden/native/I201_completed.xlsx,노체 기준 행렬,C16,96.3 %
I201,density,golden/native/I201_completed.xlsx,노체 기준 행렬,D16,pass
I201,density,golden/native/I201_completed.xlsx,노체 기준 행렬,E16,PDF 4쪽 | 중앙 시료 C열 해당 구간 선택
I201,cbr,golden/native/I201_completed.xlsx,노체 기준 행렬,C17,79; handwritten 89 ?
I201,cbr,golden/native/I201_completed.xlsx,노체 기준 행렬,D17,review
I201,cbr,golden/native/I201_completed.xlsx,노체 기준 행렬,E17,PDF 21쪽 | 인쇄값 79와 확인되지 않은 수기 89 ?가 충돌하므로 원본 확인 필요
I201,sieve075,golden/native/I201_completed.xlsx,입도 범위,E22,4.8 %
I201,sieve075,golden/native/I201_completed.xlsx,입도 범위,F22,pass
I201,sieve075,golden/native/I201_completed.xlsx,입도 범위,G22,PDF 33쪽 | 입도곡선 대신 수치표에서 정확한 값 추출
I201,sieve475,golden/native/I201_completed.xlsx,입도 범위,E23,99.1 %
I201,sieve475,golden/native/I201_completed.xlsx,입도 범위,F23,pass
I201,sieve475,golden/native/I201_completed.xlsx,입도 범위,G23,PDF 33쪽 | 포함 경계의 범위 기준
I202,voids,golden/native/I202_completed.xlsx,현장 검토서,C9,3.8 %
I202,voids,golden/native/I202_completed.xlsx,현장 검토서,E9,pass
I202,voids,golden/native/I202_completed.xlsx,현장 검토서,C10,PDF 29쪽 | 쉼표는 소수 구분자
I202,stability,golden/native/I202_completed.xlsx,현장 검토서,C16,9.2 kN
I202,stability,golden/native/I202_completed.xlsx,현장 검토서,E16,pass
I202,stability,golden/native/I202_completed.xlsx,현장 검토서,C17,PDF 29쪽 | 영문 문장 속 시험값 추출
I202,thickness,golden/native/I202_completed.xlsx,현장 검토서,C23,47 mm
I202,thickness,golden/native/I202_completed.xlsx,현장 검토서,E23,fail
I202,thickness,golden/native/I202_completed.xlsx,현장 검토서,C24,PDF 66쪽 | 특기시방의 최소 두께 50 mm 미달
I202,permeability,golden/native/I202_completed.xlsx,현장 검토서,C30,NOT TESTED
I202,permeability,golden/native/I202_completed.xlsx,현장 검토서,E30,review
I202,permeability,golden/native/I202_completed.xlsx,현장 검토서,C31,PDF 66쪽 | 미시험 표기를 0으로 바꾸지 않음
P301,yield,golden/native/P301_completed.xlsx,Mechanical R3,G15,345 MPa
P301,yield,golden/native/P301_completed.xlsx,Mechanical R3,H15,pass
P301,yield,golden/native/P301_completed.xlsx,Mechanical R3,I15,PDF 37쪽 | 같은 Heat의 현행 기계적 성질 표 선택
P301,tensile,golden/native/P301_completed.xlsx,Mechanical R3,G16,510 MPa
P301,tensile,golden/native/P301_completed.xlsx,Mechanical R3,H16,pass
P301,tensile,golden/native/P301_completed.xlsx,Mechanical R3,I16,PDF 37쪽 | 하한 및 상한 포함
