case_id,physical_page,source_pages,structure,effects,width_pt,height_pt
B101,1,1,single,holes;handwriting,595.35,841.95
B101,2,2;3,two_up,jpeg;dark;coffee,1190.55,841.89
B101,3,4,single,sticky;coffee,595.35,841.95
B101,4,2,single,jpeg,595.35,841.95
B101,5,,inserted_divider,,595.276,841.89
B101,6,7,single,coffee,595.35,841.95
B101,7,6,single,photo;stamp,726.75,959.85
B101,8,5,single,bleed;grain,595.35,841.95
B101,9,8,single,screen,873.45,649.35
B101,10,2,single,jpeg,595.35,841.95
B101,11,9,single,watermark;grain,595.35,841.95
B101,12,10,single,skew;grain,650.25,879.75
B101,13,11,single,highlight;grain,595.35,841.95
B101,14,12,single,rotate90;stamp,841.95,595.35
B102,1,1,single,holes;handwriting,595.35,841.95
B102,2,2;3,two_up,blur;mirror;coffee,1190.55,841.89
B102,3,4,single,dark,595.35,841.95
B102,4,7,single,rotate180,595.35,841.95
B102,5,6,single,motion;stamp,595.35,841.95
B102,6,5,single,dark;grain,595.35,841.95
B102,7,8,single,rotate90,595.35,841.95
B102,8,9,single,,595.276,841.89
B102,9,10,single,bleed;grain,595.35,841.95
B102,10,11,single,stamp,595.35,841.95
B102,11,12,single,photo;stamp,726.75,959.85
B102,12,2,single,blur,595.35,841.95
B102,13,13,single,coffee,595.35,841.95
B102,14,14,single,blueprint,595.35,841.95
B102,15,15,single,negative;grain,595.35,841.95
B102,16,16,single,salt_pepper;grain,595.35,841.95
B102,17,,inserted_divider,,595.276,841.89
B102,18,17,single,rotate90;grain,841.95,1190.7
B102,19,18,single,,595.276,841.89
B102,20,19,single,stamp,595.35,841.95
B102,21,20,single,dark;grain,595.35,841.95
B102,22,21,single,screen;coffee,626.85,895.95
B102,23,22,single,screen,626.85,895.95
B102,24,23,single,half_turn,595.35,841.95
B102,25,24,single,salt_pepper;stamp,595.35,841.95
B102,26,2,single,blur,595.35,841.95
B102,27,28,single,watermark,595.35,841.95
B102,28,27,single,,595.276,841.89
B102,29,26,single,blur,595.35,841.95
B102,30,25,single,mirror;grain,595.35,841.95
B102,31,29,single,streaks,841.95,595.35
B102,32,30,single,rotate90;stamp;grain,841.95,595.35
B102,33,31,single,bands,1190.7,841.95
B102,34,32,single,handwriting,595.35,841.95
B102,35,33,single,coffee;coffee,595.35,841.95
B102,36,34,single,jpeg,595.35,841.95
B102,37,35,single,grain;grain,595.35,841.95
B102,38,2,single,blur,595.35,841.95
B102,39,36,single,,841.89,595.28
B102,40,37,single,dark,595.35,841.95
B102,41,38,single,skew,650.25,879.75
B102,42,39,single,low_dpi;coffee,595.35,841.95
B102,43,40,single,motion;grain,595.35,841.95
B102,44,41,single,motion,595.35,841.95
B102,45,42,single,fold;grain,595.35,841.95
B102,46,43,single,rotate180,595.35,841.95
B102,47,44,single,low_dpi,595.35,841.95
B102,48,45,single,,1190.55,841.89
B102,49,46,single,coffee,595.35,841.95
B102,50,47,single,skew,650.25,879.75
B102,51,48,single,watermark;stamp,595.35,841.95
I201,1,1,single,holes;handwriting,595.35,841.95
I201,2,2;3,two_up,rotate90;stamp;coffee,1190.55,841.89
I201,3,4,single,torn,595.35,841.95
I201,4,7,single,photo;grain,1452.6,959.85
I201,5,6,single,grain;stamp,595.35,841.95
I201,6,5,single,rotate180;grain,595.35,841.95
I201,7,8,single,photo,1027.35,679.05
I201,8,9,single,,595.276,841.89
I201,9,2,single,rotate90,841.95,595.35
I201,10,10,single,stamp;grain,595.35,841.95
I201,11,11,single,dropout,595.35,841.95
I201,12,12,single,fold;stamp,595.35,841.95
I201,13,,inserted_divider,,595.276,841.89
I201,14,13,single,bleed,595.35,841.95
I201,15,14,single,screen,626.85,895.95
I201,16,15,single,holes;coffee;grain,595.35,841.95
I201,17,16,single,highlight,595.35,841.95
I201,18,17,single,ghost,1190.7,841.95
I201,19,2,single,rotate90,841.95,595.35
I201,20,18,single,,595.276,841.89
I201,21,19,single,correction;watermark,1190.7,841.95
I201,22,20,single,watermark;grain,595.35,841.95
I201,23,21,single,torn;coffee,595.35,841.95
I201,24,22,single,motion,841.95,595.35
I201,25,23,single,holes,595.35,841.95
I201,26,24,single,handwriting;stamp,595.35,841.95
I201,27,25,single,faded;grain,595.35,841.95
I201,28,26,single,faded,595.35,841.95
I201,29,2,single,rotate90,841.95,595.35
I201,30,27,single,,595.276,841.89
I201,31,28,single,grain,595.35,841.95
I201,32,29,single,screen,873.45,649.35
I201,33,30;31,two_up,blur;stamp;grain;blueprint;grain,1190.55,841.89
I201,34,32,single,low_dpi,595.35,841.95
I201,35,33,single,salt_pepper;coffee,595.35,841.95
I201,36,34,single,holes,595.35,841.95
I201,37,35,single,highlight;grain,595.35,841.95
I201,38,36,single,,841.89,595.28
I202,1,1,single,holes;handwriting,595.35,841.95
I202,2,2;3,two_up,holes;jpeg;coffee,1190.55,841.89
I202,3,4,single,stamp,595.35,841.95
I202,4,7,single,bleed,595.35,841.95
I202,5,6,single,faded;stamp,595.35,841.95
I202,6,5,single,dropout;grain,595.35,841.95
I202,7,8,single,screen,873.45,649.35
I202,8,9,single,,595.276,841.89
I202,9,10,single,coffee;grain,595.35,841.95
I202,10,11,single,bleed,595.35,841.95
I202,11,12,single,salt_pepper;stamp,595.35,841.95
I202,12,13,single,handwriting,595.35,841.95
I202,13,14,single,motion,595.35,841.95
I202,14,15,single,watermark;coffee;grain,595.35,841.95
I202,15,2,single,holes,595.35,841.95
I202,16,16,single,rotate180,595.35,841.95
I202,17,17,single,torn,1190.7,841.95
I202,18,18,single,,595.276,841.89
I202,19,19,single,low_dpi,595.35,841.95
I202,20,20,single,torn;grain,595.35,841.95
I202,21,21,single,torn;coffee,595.35,841.95
I202,22,22,single,dark,841.95,595.35
I202,23,23,single,half_turn,595.35,841.95
I202,24,24,single,skew;stamp,650.25,879.75
I202,25,,inserted_divider,,595.276,841.89
I202,26,25,single,photo;grain,726.75,959.85
I202,27,26,single,coffee,595.35,841.95
I202,28,27,single,,595.276,841.89
I202,29,28;29,two_up,stamp;grain;photo;grain,1190.55,841.89
I202,30,2,single,holes,595.35,841.95
I202,31,30,single,skew;stamp;grain,650.25,879.75
I202,32,31,single,skew,1244.25,919.35
I202,33,32,single,coffee,595.35,841.95
I202,34,33,single,bleed;coffee,595.35,841.95
I202,35,34,single,screen,626.85,895.95
I202,36,35,single,highlight;grain,595.35,841.95
I202,37,36,single,,841.89,595.28
I202,38,37,single,blueprint,595.35,841.95
I202,39,41,single,ghost,595.35,841.95
I202,40,40,single,rotate180;grain,595.35,841.95
I202,41,39,single,bleed;coffee,595.35,841.95
I202,42,38,single,coffee,595.35,841.95
I202,43,42,single,motion;stamp,595.35,841.95
I202,44,43,single,motion,595.35,841.95
I202,45,2,single,holes,595.35,841.95
I202,46,44,single,bleed,595.35,841.95
