case_id,field_id,name,raw_value,value,unit,qualifier,operator,verdict,limit,report_pages,criterion_source
B101,thermal,열전도율,,,W/(m K),unreadable,lte,review,0.034,3,"{""file"": ""inputs/criteria/B101_criteria.xlsx"", ""sheet"": ""단열 성능"", ""cells"": [""E10"", ""C10""]}"
B101,stress,압축응력,142,142,kPa,eq,gte,pass,140,3,"{""file"": ""inputs/criteria/B101_criteria.xlsx"", ""sheet"": ""단열 성능"", ""cells"": [""D11"", ""C11""]}"
B101,absorption,흡수율,0.41,0.41,%,eq,lte,pass,0.5,11,"{""file"": ""inputs/criteria/B101_criteria.xlsx"", ""sheet"": ""마감재 기준"", ""cells"": [""C7"", ""D7""]}"
B101,bond,접착강도,1.12,1.12,MPa,eq,gte,pass,1,13,"{""file"": ""inputs/criteria/B101_criteria.xlsx"", ""sheet"": ""마감재 기준"", ""cells"": [""C8"", ""D8""]}"
B102,strength,28일 압축강도,31.2,31.2,MPa,eq,gte,pass,30,15;16,"{""file"": ""inputs/criteria/B102_criteria.xlsx"", ""sheet"": ""현장 종합기준"", ""cells"": [""D7"", ""E7""]}"
B102,chloride,염화물량,0.047,0.047,%,eq,lte,pass,0.05,16;18,"{""file"": ""inputs/criteria/B102_criteria.xlsx"", ""sheet"": ""현장 종합기준"", ""cells"": [""D23"", ""E23""]}"
B102,elongation,연신율,14,14,%,eq,gte,fail,16,45,"{""file"": ""inputs/criteria/B102_criteria.xlsx"", ""sheet"": ""현장 종합기준"", ""cells"": [""D42"", ""E42""]}"
B102,fire,내화시간,60,60,min,eq,gte,pass,60,45,"{""file"": ""inputs/criteria/B102_criteria.xlsx"", ""sheet"": ""현장 종합기준"", ""cells"": [""D46"", ""B52""]}"
I201,density,다짐도,96.3,96.3,%,eq,gte,pass,95,4,"{""file"": ""inputs/criteria/I201_criteria.xlsx"", ""sheet"": ""노체 기준 행렬"", ""cells"": [""D7"", ""D6"", ""D9""]}"
I201,cbr,수정 CBR,79; handwritten 89 ?,,%,ambiguous,gte,review,80,21,"{""file"": ""inputs/criteria/I201_criteria.xlsx"", ""sheet"": ""노체 기준 행렬"", ""cells"": [""D8"", ""D6"", ""D9""]}"
