"module_id","module_name","layer","internal_steps","question_id","category","question","spec_files","dependencies","libraries","required_evidence","future_product_gates"
"CORE-01","설정과 외부 서비스 어댑터","core","STEP-02 STEP-05 STEP-06","CORE-01-C01","contract","설계가 .env 우선순위, 필수/선택 키, 역할별 model ID와 기본값을 모두 지정하고 공개 health 응답에 비밀키를 포함하지 않는가?","specs/02-backend-pipeline.md | environment/versions.json | environment/integrations/package-lock.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","","@google/genai: 2.23.0; 구조화 JSON/텍스트 요청과 취소 | e2b: 2.51.0; 샌드박스 생성·실행·종료 | Node.js: 환경 파일·AbortSignal·timeout","환경 변수 표와 publicConfig 예시; integrations/test/integrations.test.mjs의 설정/키 비공개 사례","G01 G03 G09 G12 G14"
"CORE-01","설정과 외부 서비스 어댑터","core","STEP-02 STEP-05 STEP-06","CORE-01-C02","behavior","generateJson/generateText의 contents·systemInstruction·schema·role 입력과 text/data/usage 출력, provider 오류 분류를 독립 구현할 수 있는가?","specs/02-backend-pipeline.md | environment/versions.json | environment/integrations/package-lock.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","","@google/genai: 2.23.0; 구조화 JSON/텍스트 요청과 취소 | e2b: 2.51.0; 샌드박스 생성·실행·종료 | Node.js: 환경 파일·AbortSignal·timeout","두 메서드의 요청/응답 예시와 integrations/src/gemini.mjs 대응표","G01 G03 G09 G12 G14"
"CORE-01","설정과 외부 서비스 어댑터","core","STEP-02 STEP-05 STEP-06","CORE-01-C03","states","LLM 요청과 E2B callback의 timeout·abort·finally 정리 순서를 명시하고 작업 취소 후에도 실제 종료까지 자원을 점유하는가?","specs/02-backend-pipeline.md | environment/versions.json | environment/integrations/package-lock.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","","@google/genai: 2.23.0; 구조화 JSON/텍스트 요청과 취소 | e2b: 2.51.0; 샌드박스 생성·실행·종료 | Node.js: 환경 파일·AbortSignal·timeout","호출 상태도와 integrations/test/concurrency.test.mjs의 cancel/cleanup 사례","G01 G03 G09 G12 G14"
"CORE-01","설정과 외부 서비스 어댑터","core","STEP-02 STEP-05 STEP-06","CORE-01-C04","failure","응답 용량·토큰·파일 부분·JSON 파싱 오류와 E2B kill 실패를 성공으로 처리하지 않는 정책이 수치와 오류 코드로 지정되어 있는가?","specs/02-backend-pipeline.md | environment/versions.json | environment/integrations/package-lock.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","","@google/genai: 2.23.0; 구조화 JSON/텍스트 요청과 취소 | e2b: 2.51.0; 샌드박스 생성·실행·종료 | Node.js: 환경 파일·AbortSignal·timeout","integrations/test/gemini-limits.test.mjs와 integrations/test/integrations.test.mjs의 실패 입력/기대 결과","G01 G03 G09 G12 G14"
"CORE-01","설정과 외부 서비스 어댑터","core","STEP-02 STEP-05 STEP-06","CORE-01-C05","verification","키를 노출하거나 실제 외부 호출을 필수로 하지 않고 fake client로 설정·응답·정리를 검사하는 재현 명령이 있는가?","specs/02-backend-pipeline.md | environment/versions.json | environment/integrations/package-lock.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","","@google/genai: 2.23.0; 구조화 JSON/텍스트 요청과 취소 | e2b: 2.51.0; 샌드박스 생성·실행·종료 | Node.js: 환경 파일·AbortSignal·timeout","integrations/package.json test/check 명령 및 실제 API smoke와 오프라인 테스트의 구분","G01 G03 G09 G12 G14"
"CORE-02","로컬 HTTP API와 메모리 저장소 경계","core","STEP-01 STEP-02 STEP-03 STEP-04 STEP-05 STEP-06","CORE-02-C01","contract","각 /api route의 method, body/query, 성공 상태 코드, 오류 응답이 정의되고 문서 private buffer/modelParts/profile과 publicDocument가 분리되어 있는가?","specs/01-state-api.md | contracts/types.ts | contracts/examples/02-errors.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","CORE-01","express: lock 5.2.1; HTTP route, middleware, 정적 배포 | multer: lock 2.4.0; memoryStorage 업로드 | Node.js: Map·Set·원본 Buffer의 메모리 보관","01-state-api route 표, contracts/types.ts, server/app.test.mjs의 공개 응답 검사","G02 G12 G14"
"CORE-02","로컬 HTTP API와 메모리 저장소 경계","core","STEP-01 STEP-02 STEP-03 STEP-04 STEP-05 STEP-06","CORE-02-C02","behavior","문서·run·dashboard job이 기본 구현에서는 메모리 저장이고 서버 재시작 시 사라짐을 명시하며 존재하지 않는 ID의 404 동작을 정의하는가?","specs/01-state-api.md | contracts/types.ts | contracts/examples/02-errors.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","CORE-01","express: lock 5.2.1; HTTP route, middleware, 정적 배포 | multer: lock 2.4.0; memoryStorage 업로드 | Node.js: Map·Set·원본 Buffer의 메모리 보관","저장소 수명 표와 서버 재시작/404 수용 사례; 임시 보존 스크립트와 제품 기본 기능 구분","G02 G12 G14"
"CORE-02","로컬 HTTP API와 메모리 저장소 경계","core","STEP-01 STEP-02 STEP-03 STEP-04 STEP-05 STEP-06","CORE-02-C03","states","업로드 다중 파일 중 한 개 실패 시 이미 추가한 문서가 rollback되고 run 근거로 쓰이는 문서는 DELETE 409로 보호되는가?","specs/01-state-api.md | contracts/types.ts | contracts/examples/02-errors.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","CORE-01","express: lock 5.2.1; HTTP route, middleware, 정적 배포 | multer: lock 2.4.0; memoryStorage 업로드 | Node.js: Map·Set·원본 Buffer의 메모리 보관","server/app.test.mjs의 업로드 rollback/근거 삭제 방지 사례","G02 G12 G14"
"CORE-02","로컬 HTTP API와 메모리 저장소 경계","core","STEP-01 STEP-02 STEP-03 STEP-04 STEP-05 STEP-06","CORE-02-C04","failure","local-origin write guard, 2 MB JSON 한도, multipart 파일/필드 한도, 파일 크기 오류 413와 형식 오류 400이 명시되어 있는가?","specs/01-state-api.md | contracts/types.ts | contracts/examples/02-errors.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","CORE-01","express: lock 5.2.1; HTTP route, middleware, 정적 배포 | multer: lock 2.4.0; memoryStorage 업로드 | Node.js: Map·Set·원본 Buffer의 메모리 보관","middleware 실행 순서와 공격·경계 요청 예시","G02 G12 G14"
"CORE-02","로컬 HTTP API와 메모리 저장소 경계","core","STEP-01 STEP-02 STEP-03 STEP-04 STEP-05 STEP-06","CORE-02-C05","verification","실제 포트 기본값/환경 override, dist 정적 서빙, SIGINT/SIGTERM의 run 취소와 종료를 검증할 명령과 기대 응답이 있는가?","specs/01-state-api.md | contracts/types.ts | contracts/examples/02-errors.json | specs/07-data-algorithms-concurrency.md | contracts/efficiency-inventory.json","CORE-01","express: lock 5.2.1; HTTP route, middleware, 정적 배포 | multer: lock 2.4.0; memoryStorage 업로드 | Node.js: Map·Set·원본 Buffer의 메모리 보관","server/index.mjs, app.test.mjs, 환경 실행 명령에 연결된 체크리스트","G02 G12 G14"
